zinc_id,smiles,ortholog_name,gene_name,affinity,chembldocid,title,reference.pubmed_id,reference.doi,reference.chembl_id,reference.journal,reference.year,pKi_numeric
ZINC000013862752,Fc1ccc(-c2[nH]c3cc(F)ccc3c2[C@H]2CCCNC2)cc1,5HT2A_HUMAN,HTR2A,10.05,15949,,11334570.0,,CHEMBL1134475,J. Med. Chem.,2001.0,10.05
ZINC000029038586,N[C@@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,5HT2A_HUMAN,HTR2A,10.05,38266,,18160289.0,,CHEMBL1140829,Bioorg. Med. Chem. Lett.,2008.0,10.05
ZINC000029038588,N[C@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,5HT2A_HUMAN,HTR2A,10.05,38266,,18160289.0,,CHEMBL1140829,Bioorg. Med. Chem. Lett.,2008.0,10.05
ZINC000034658170,CN(C)CCc1sc2ccccc2c1Cc1ccc(F)cc1,5HT2A_HUMAN,HTR2A,10.05,48111,,19663387.0,,CHEMBL1153519,J. Med. Chem.,2009.0,10.05
ZINC000071316459,O=C1CCc2ccc(OCCCCN3CCN(c4cccc5c4CCCC5)CC3)nc2N1,5HT2A_HUMAN,HTR2A,10.05,57508,,21353774.0,,CHEMBL1773056,Bioorg. Med. Chem. Lett.,2011.0,10.05
ZINC000000000092,COc1cc(C[C@@H](C)N)c(OC)cc1Br,5HT2A_HUMAN,HTR2A,7.39,12369,,8027974.0,,CHEMBL1127846,J. Med. Chem.,1994.0,7.39
ZINC000000538312,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,5HT2A_HUMAN,HTR2A,10.0,59306,DrugMatrix in vitro pharmacology data,,,CHEMBL1909046,,,10.0
ZINC000000598040,COc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC,5HT2A_HUMAN,HTR2A,10.0,53898,,20942472.0,,CHEMBL1275351,J. Med. Chem.,2010.0,10.0
ZINC000002516053,COc1cc(C[C@@H](C)N)c(OC)cc1I,5HT2A_HUMAN,HTR2A,9.34,14755,,9857084.0,,CHEMBL1131520,J. Med. Chem.,1998.0,9.34
ZINC000029038625,O=C(N[C@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21)c1ccc(Cl)cc1,5HT2A_HUMAN,HTR2A,10.0,38266,,18160289.0,,CHEMBL1140829,Bioorg. Med. Chem. Lett.,2008.0,10.0
ZINC000013862746,Fc1ccc2c([C@@H]3CNCC[C@H]3F)c(-c3ccsc3)[nH]c2c1,5HT2A_HUMAN,HTR2A,9.96,15949,,11334570.0,,CHEMBL1134475,J. Med. Chem.,2001.0,9.96
ZINC000003812975,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,5HT2A_HUMAN,HTR2A,9.95,59306,DrugMatrix in vitro pharmacology data,,,CHEMBL1909046,,,9.95
ZINC000013862750,Fc1ccc(-c2[nH]c3cc(F)ccc3c2[C@@H]2CNCC[C@H]2F)cc1,5HT2A_HUMAN,HTR2A,9.92,15949,,11334570.0,,CHEMBL1134475,J. Med. Chem.,2001.0,9.92
ZINC000026646126,CCN(C)CCc1c(-c2cccc(C(F)(F)F)c2)[nH]c2ccccc12,5HT2A_HUMAN,HTR2A,9.89,4012,,11133071.0,,CHEMBL1132836,Bioorg. Med. Chem. Lett.,2000.0,9.89
ZINC000028527332,Cc1ccc(CCN2CCN(c3nsc4ccccc34)CC2)c2c1[C@H](C)CC(=O)N2,5HT2A_HUMAN,HTR2A,9.89,30061,,16087333.0,,CHEMBL1140391,Bioorg. Med. Chem. Lett.,2005.0,9.89
ZINC000071316084,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)nc2N1,5HT2A_HUMAN,HTR2A,9.89,57508,,21353774.0,,CHEMBL1773056,Bioorg. Med. Chem. Lett.,2011.0,9.89
ZINC000026646204,CCN(C)CCc1c(-c2cccc([N+](=O)[O-])c2)[nH]c2ccccc12,5HT2A_HUMAN,HTR2A,9.85,4012,,11133071.0,,CHEMBL1132836,Bioorg. Med. Chem. Lett.,2000.0,9.85
ZINC000034962169,O=C1CCc2ccc(OCCCCN3CCN(c4cccc5ccccc45)CC3)nc2N1,5HT2A_HUMAN,HTR2A,9.85,57508,,21353774.0,,CHEMBL1773056,Bioorg. Med. Chem. Lett.,2011.0,9.85
ZINC000042923050,CN(C)CCC1=C(Cc2ccc(F)cc2)c2ccccc2C1,5HT2A_HUMAN,HTR2A,9.85,48111,,19663387.0,,CHEMBL1153519,J. Med. Chem.,2009.0,9.85
ZINC000029038720,O=C(N[C@@H]1CCc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc21)C(F)(F)F,5HT2A_HUMAN,HTR2A,9.82,38266,,18160289.0,,CHEMBL1140829,Bioorg. Med. Chem. Lett.,2008.0,9.82
ZINC000029038722,O=C(N[C@H]1CCc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc21)C(F)(F)F,5HT2A_HUMAN,HTR2A,9.82,38266,,18160289.0,,CHEMBL1140829,Bioorg. Med. Chem. Lett.,2008.0,9.82
ZINC000045254776,Cn1nccc1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCCN1CCCC1,5HT2A_HUMAN,HTR2A,9.82,48876,,19665894.0,,CHEMBL1155963,Bioorg. Med. Chem. Lett.,2009.0,9.82
ZINC000045255527,Cn1ncc(Cl)c1-c1cc(NC(=O)Nc2ccc(F)cc2F)ccc1OCCN1CCOCC1,5HT2A_HUMAN,HTR2A,9.82,48876,,19665894.0,,CHEMBL1155963,Bioorg. Med. Chem. Lett.,2009.0,9.82
ZINC000006745690,COc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1-c1c(Cl)cnn1C,5HT2A_HUMAN,HTR2A,9.8,49664,,20143782.0,,CHEMBL1157565,J. Med. Chem.,2010.0,9.8
ZINC000035997591,O=C1CCc2ccc(OCCCCN3CCN(c4cccc5c4CCC5)CC3)nc2N1,5HT2A_HUMAN,HTR2A,9.8,57508,,21353774.0,,CHEMBL1773056,Bioorg. Med. Chem. Lett.,2011.0,9.8
ZINC000028528139,C[C@@H]1CC(=O)Nc2c(CCN3CCN(c4nsc5ccccc45)CC3)cc(F)cc21,5HT2A_HUMAN,HTR2A,9.77,30061,,16087333.0,,CHEMBL1140391,Bioorg. Med. Chem. Lett.,2005.0,9.77
ZINC000028528140,C[C@H]1CC(=O)Nc2c(CCN3CCN(c4nsc5ccccc45)CC3)cc(F)cc21,5HT2A_HUMAN,HTR2A,9.77,30061,,16087333.0,,CHEMBL1140391,Bioorg. Med. Chem. Lett.,2005.0,9.77
ZINC000028528237,C[C@@H]1CC(=O)N(C)c2c(CCN3CCN(c4nsc5ccccc45)CC3)cccc21,5HT2A_HUMAN,HTR2A,9.77,30061,,16087333.0,,CHEMBL1140391,Bioorg. Med. Chem. Lett.,2005.0,9.77
ZINC000003922292,C[C@@H]1CCCCN1CCc1c(-c2ccccc2)[nH]c2ccccc12,5HT2A_HUMAN,HTR2A,9.74,4012,,11133071.0,,CHEMBL1132836,Bioorg. Med. Chem. Lett.,2000.0,9.74
ZINC000003948572,O=C1C[C@H](c2ccccc2)c2cccc(CCN3CCN(c4nsc5ccccc45)CC3)c2N1,5HT2A_HUMAN,HTR2A,9.74,30061,,16087333.0,,CHEMBL1140391,Bioorg. Med. Chem. Lett.,2005.0,9.74
ZINC000013472071,O=S(=O)(c1ccccc1)C1CCN(CCc2ccc(F)cc2F)CC1,5HT2A_HUMAN,HTR2A,9.48,16659,,11784153.0,,CHEMBL1135811,J. Med. Chem.,2002.0,9.48
ZINC000013976034,O=C1C[C@@H](c2ccccc2)c2cccc(CCN3CCN(c4nsc5ccccc45)CC3)c2N1,5HT2A_HUMAN,HTR2A,9.74,30061,,16087333.0,,CHEMBL1140391,Bioorg. Med. Chem. Lett.,2005.0,9.74
ZINC000028525926,CC1(C)CCNc2c(CCN3CCN(c4nsc5ccccc45)CC3)cccc21,5HT2A_HUMAN,HTR2A,9.74,30061,,16087333.0,,CHEMBL1140391,Bioorg. Med. Chem. Lett.,2005.0,9.74
ZINC000026647083,CCN(C)CCc1c(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)[nH]c2ccccc12,5HT2A_HUMAN,HTR2A,9.72,4012,,11133071.0,,CHEMBL1132836,Bioorg. Med. Chem. Lett.,2000.0,9.72
ZINC000028889328,O=S(=O)(c1ccc(/C=C/c2ccc(F)cc2O)nc1)c1ccccc1F,5HT2A_HUMAN,HTR2A,9.72,37466,,17314044.0,,CHEMBL1139157,Bioorg. Med. Chem. Lett.,2007.0,9.72
ZINC000045254361,Cn1nccc1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCCN1CCOCC1,5HT2A_HUMAN,HTR2A,9.72,48876,,19665894.0,,CHEMBL1155963,Bioorg. Med. Chem. Lett.,2009.0,9.72
ZINC000071329713,O=C1CCc2ccc(OCCCCN3CCN(c4cccc5c4OCCC5)CC3)nc2N1,5HT2A_HUMAN,HTR2A,9.72,57508,,21353774.0,,CHEMBL1773056,Bioorg. Med. Chem. Lett.,2011.0,9.72
ZINC000000537877,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,5HT2A_HUMAN,HTR2A,9.7,54186,,19883461.0,,CHEMBL1629067,Br. J. Pharmacol.,2009.0,9.7
ZINC000000538337,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,5HT2A_HUMAN,HTR2A,9.22,16989,,12747773.0,,CHEMBL1145042,J. Med. Chem.,2003.0,9.22
ZINC000001493719,Nc1cc(F)ccc1C(=O)CCCN1CC[C@H]2[C@@H](C1)c1cccc3c1N2CCO3,5HT2A_HUMAN,HTR2A,9.7,6119,,12639577.0,,CHEMBL1144968,Bioorg. Med. Chem. Lett.,2003.0,9.7
ZINC000045392240,COc1ccc(NC(=O)Nc2ccc(Cl)cc2Cl)cc1-c1c(Br)cnn1C,5HT2A_HUMAN,HTR2A,9.7,49664,,20143782.0,,CHEMBL1157565,J. Med. Chem.,2010.0,9.7
ZINC000049053973,NC(=O)c1cccc(S(=O)(=O)c2ccc(/C=C/c3ccc(F)cc3F)cc2)c1,5HT2A_HUMAN,HTR2A,9.7,51416,,20493697.0,,CHEMBL1158627,Bioorg. Med. Chem. Lett.,2010.0,9.7
ZINC000028527238,C[C@@H]1CC(=O)Nc2c(CCN3CCN(c4nsc5ccccc45)CC3)cccc21,5HT2A_HUMAN,HTR2A,9.66,30061,,16087333.0,,CHEMBL1140391,Bioorg. Med. Chem. Lett.,2005.0,9.66
ZINC000028527240,C[C@H]1CC(=O)Nc2c(CCN3CCN(c4nsc5ccccc45)CC3)cccc21,5HT2A_HUMAN,HTR2A,9.66,30061,,16087333.0,,CHEMBL1140391,Bioorg. Med. Chem. Lett.,2005.0,9.66
ZINC000045254490,Cn1nccc1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCCN1CCCOCC1,5HT2A_HUMAN,HTR2A,9.66,48876,,19665894.0,,CHEMBL1155963,Bioorg. Med. Chem. Lett.,2009.0,9.66
ZINC000013862744,Fc1ccc2c([C@@H]3CNCC[C@H]3F)c(-c3ccc4ccccc4c3)[nH]c2c1,5HT2A_HUMAN,HTR2A,9.64,15949,,11334570.0,,CHEMBL1134475,J. Med. Chem.,2001.0,9.64
ZINC000013611470,CN(C)C[C@H]1C[C@@H]2c3ccccc3Sc3ccc(F)cc3[C@H]2O1,5HT2A_HUMAN,HTR2A,8.8,21559,,15771415.0,,CHEMBL1142715,J. Med. Chem.,2005.0,8.8
ZINC000028523621,CN(C)C[C@H]1C[C@H]2c3ccccc3Sc3ccc(F)cc3[C@H]2O1,5HT2A_HUMAN,HTR2A,9.62,21559,,15771415.0,,CHEMBL1142715,J. Med. Chem.,2005.0,9.62
ZINC000013472090,O=S(=O)(c1ccc(Cl)cc1)C1CCN(CCc2ccc(F)cc2F)CC1,5HT2A_HUMAN,HTR2A,8.85,16659,,11784153.0,,CHEMBL1135811,J. Med. Chem.,2002.0,8.85
ZINC000013862747,Fc1ccc2c([C@@H]3CNCC[C@H]3F)c(C3CCCCC3)[nH]c2c1,5HT2A_HUMAN,HTR2A,9.6,15949,,11334570.0,,CHEMBL1134475,J. Med. Chem.,2001.0,9.6
ZINC000029038729,CCC(=O)N[C@@H]1CCc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc21,5HT2A_HUMAN,HTR2A,9.6,38266,,18160289.0,,CHEMBL1140829,Bioorg. Med. Chem. Lett.,2008.0,9.6
ZINC000029038731,CCC(=O)N[C@H]1CCc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc21,5HT2A_HUMAN,HTR2A,9.6,38266,,18160289.0,,CHEMBL1140829,Bioorg. Med. Chem. Lett.,2008.0,9.6
ZINC000034565916,COc1ccc(NC(=O)Nc2cccc(Cl)c2)cc1-c1c(Br)cnn1C,5HT2A_HUMAN,HTR2A,9.6,49664,,20143782.0,,CHEMBL1157565,J. Med. Chem.,2010.0,9.6
ZINC000034642886,COc1ccc(NC(=O)Nc2ccc(F)cc2)cc1-c1c(Br)cnn1C(C)C,5HT2A_HUMAN,HTR2A,9.6,49664,,20143782.0,,CHEMBL1157565,J. Med. Chem.,2010.0,9.6
ZINC000035950993,COc1ccc(NC(=O)Nc2ccc(F)c(F)c2)cc1-c1c(Cl)cnn1C,5HT2A_HUMAN,HTR2A,9.6,49664,,20143782.0,,CHEMBL1157565,J. Med. Chem.,2010.0,9.6
ZINC000036409832,COc1ccc(NC(=O)Nc2ccc(F)cc2)cc1-c1c(Br)cnn1C,5HT2A_HUMAN,HTR2A,9.6,49664,,20143782.0,,CHEMBL1157565,J. Med. Chem.,2010.0,9.6
ZINC000038320584,CCOc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1-c1c(Br)cnn1C,5HT2A_HUMAN,HTR2A,9.6,49664,,20143782.0,,CHEMBL1157565,J. Med. Chem.,2010.0,9.6
ZINC000045253205,Cn1nccc1-c1cc(NC(=O)Nc2cccc(C(F)(F)F)c2)ccc1OCCN1CCCCC1,5HT2A_HUMAN,HTR2A,9.6,48876,,19665894.0,,CHEMBL1155963,Bioorg. Med. Chem. Lett.,2009.0,9.6
ZINC000045366826,COc1ccc(NC(=O)Nc2ccc(Br)cc2)cc1-c1c(Br)cnn1C,5HT2A_HUMAN,HTR2A,9.6,49664,,20143782.0,,CHEMBL1157565,J. Med. Chem.,2010.0,9.6
ZINC000013831236,COc1cc(Br)c(OC)c2c1[C@H](CN)C2,5HT2A_HUMAN,HTR2A,9.46,31732,,16970404.0,,CHEMBL1149368,J. Med. Chem.,2006.0,9.46
ZINC000026646657,COC[C@@H]1CCCN1CCc1c(-c2ccccc2)[nH]c2ccccc12,5HT2A_HUMAN,HTR2A,9.59,4012,,11133071.0,,CHEMBL1132836,Bioorg. Med. Chem. Lett.,2000.0,9.59
ZINC000045287674,Cn1ncc(Cl)c1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCCN1CCCC1,5HT2A_HUMAN,HTR2A,9.59,48876,,19665894.0,,CHEMBL1155963,Bioorg. Med. Chem. Lett.,2009.0,9.59
ZINC000000968264,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,5HT2A_HUMAN,HTR2A,9.56,59306,DrugMatrix in vitro pharmacology data,,,CHEMBL1909046,,,9.56
ZINC000028525924,C[C@@H]1CC(=O)Nc2c(CCN3CCN(c4noc5ccccc45)CC3)cc(F)cc21,5HT2A_HUMAN,HTR2A,9.55,30061,,16087333.0,,CHEMBL1140391,Bioorg. Med. Chem. Lett.,2005.0,9.55
ZINC000028525925,C[C@H]1CC(=O)Nc2c(CCN3CCN(c4noc5ccccc45)CC3)cc(F)cc21,5HT2A_HUMAN,HTR2A,9.55,30061,,16087333.0,,CHEMBL1140391,Bioorg. Med. Chem. Lett.,2005.0,9.55
ZINC000028526491,CC1(C)CCNc2c(CCN3CCN(c4nsc5ccccc45)CC3)cc(F)cc21,5HT2A_HUMAN,HTR2A,9.55,30061,,16087333.0,,CHEMBL1140391,Bioorg. Med. Chem. Lett.,2005.0,9.55
ZINC000028527190,Cc1cc(CCN2CCN(c3noc4ccccc34)CC2)c2c(c1)[C@H](C)CC(=O)N2,5HT2A_HUMAN,HTR2A,9.55,30061,,16087333.0,,CHEMBL1140391,Bioorg. Med. Chem. Lett.,2005.0,9.55
ZINC000028527192,Cc1cc(CCN2CCN(c3noc4ccccc34)CC2)c2c(c1)[C@@H](C)CC(=O)N2,5HT2A_HUMAN,HTR2A,9.55,30061,,16087333.0,,CHEMBL1140391,Bioorg. Med. Chem. Lett.,2005.0,9.55
ZINC000028527976,O=C1CCc2cccc(CCN3CCN(c4nsc5ccccc45)CC3)c2N1,5HT2A_HUMAN,HTR2A,9.55,30061,,16087333.0,,CHEMBL1140391,Bioorg. Med. Chem. Lett.,2005.0,9.55
ZINC000035801598,O=C1CCc2ccc(OCCCCN3CCN(c4cccc5ccc(F)cc45)CC3)nc2N1,5HT2A_HUMAN,HTR2A,9.55,57508,,21353774.0,,CHEMBL1773056,Bioorg. Med. Chem. Lett.,2011.0,9.55
ZINC000035953590,Cn1ncc(Br)c1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCCN1CCCC1,5HT2A_HUMAN,HTR2A,9.55,48876,,19665894.0,,CHEMBL1155963,Bioorg. Med. Chem. Lett.,2009.0,9.55
ZINC000045245441,Cn1ncc(Cl)c1-c1cc(NC(=O)Nc2ccc(F)cc2F)ccc1OCCN1CCCC1,5HT2A_HUMAN,HTR2A,9.55,48876,,19665894.0,,CHEMBL1155963,Bioorg. Med. Chem. Lett.,2009.0,9.55
ZINC000028528156,CC(=O)N1CC[C@@H](C)c2cc(F)cc(CCN3CCN(c4noc5ccccc45)CC3)c21,5HT2A_HUMAN,HTR2A,9.54,30061,,16087333.0,,CHEMBL1140391,Bioorg. Med. Chem. Lett.,2005.0,9.54
ZINC000028528157,CC(=O)N1CC[C@H](C)c2cc(F)cc(CCN3CCN(c4noc5ccccc45)CC3)c21,5HT2A_HUMAN,HTR2A,9.54,30061,,16087333.0,,CHEMBL1140391,Bioorg. Med. Chem. Lett.,2005.0,9.54
ZINC000000057058,NCCc1c[nH]c2ccc(O)cc12,5HT2A_HUMAN,HTR2A,8.82,73897,,23602445.0,,CHEMBL2390840,Bioorg. Med. Chem. Lett.,2013.0,8.82
ZINC000013488011,Nc1cc(F)ccc1C(=O)CCCN1CC[C@H]2[C@@H](C1)c1cccc3c1N2CCS3,5HT2A_HUMAN,HTR2A,9.52,6119,,12639577.0,,CHEMBL1144968,Bioorg. Med. Chem. Lett.,2003.0,9.52
ZINC000013527318,C[C@@H](N)Cc1c[nH]c2ccc3c(c12)CCCO3,5HT2A_HUMAN,HTR2A,8.44,17200,,12954071.0,,CHEMBL1145094,J. Med. Chem.,2003.0,8.44
ZINC000013757083,C[C@@H](N)Cc1c2c(c(Br)c3c1OCC3)OCC2,5HT2A_HUMAN,HTR2A,9.32,14442,,9622555.0,,CHEMBL1131247,J. Med. Chem.,1998.0,9.32
ZINC000013757085,C[C@H](N)Cc1c2c(c(Br)c3c1OCC3)OCC2,5HT2A_HUMAN,HTR2A,9.32,13481,,8709129.0,,CHEMBL1129247,J. Med. Chem.,1996.0,9.32
ZINC000028107164,O=S(=O)(c1cccc(F)c1)C1(F)CCN(CCc2ccc(F)cc2F)CC1,5HT2A_HUMAN,HTR2A,9.52,20600,,15993598.0,,CHEMBL1142766,Bioorg. Med. Chem. Lett.,2005.0,9.52
ZINC000028113725,O=S(=O)(c1ccc(N2CCC2)cc1)C1(F)CCN(CCc2ccc(F)cc2F)CC1,5HT2A_HUMAN,HTR2A,9.0,20600,,15993598.0,,CHEMBL1142766,Bioorg. Med. Chem. Lett.,2005.0,9.0
ZINC000028527650,CC(=O)N1CC[C@@H](C)c2cccc(CCN3CCN(c4nsc5ccccc45)CC3)c21,5HT2A_HUMAN,HTR2A,9.52,30061,,16087333.0,,CHEMBL1140391,Bioorg. Med. Chem. Lett.,2005.0,9.52
ZINC000028527652,CC(=O)N1CC[C@H](C)c2cccc(CCN3CCN(c4nsc5ccccc45)CC3)c21,5HT2A_HUMAN,HTR2A,9.52,30061,,16087333.0,,CHEMBL1140391,Bioorg. Med. Chem. Lett.,2005.0,9.52
ZINC000029038602,O=C(N[C@@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21)C1CC1,5HT2A_HUMAN,HTR2A,9.52,38266,,18160289.0,,CHEMBL1140829,Bioorg. Med. Chem. Lett.,2008.0,9.52
ZINC000029038604,O=C(N[C@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21)C1CC1,5HT2A_HUMAN,HTR2A,9.52,38266,,18160289.0,,CHEMBL1140829,Bioorg. Med. Chem. Lett.,2008.0,9.52
ZINC000096270830,Cc1cc(=O)oc2c(Cl)c(OCCCCN3CCC(c4noc5cc(F)ccc45)CC3)ccc12,5HT2A_HUMAN,HTR2A,7.41,73818,,23675993.0,,CHEMBL2385071,J. Med. Chem.,2013.0,7.41
ZINC000028528987,CC(=O)N1CC[C@@H](C)c2cc(Cl)cc(CCN3CCN(c4nsc5ccccc45)CC3)c21,5HT2A_HUMAN,HTR2A,9.51,30061,,16087333.0,,CHEMBL1140391,Bioorg. Med. Chem. Lett.,2005.0,9.51
ZINC000028528989,CC(=O)N1CC[C@H](C)c2cc(Cl)cc(CCN3CCN(c4nsc5ccccc45)CC3)c21,5HT2A_HUMAN,HTR2A,9.51,30061,,16087333.0,,CHEMBL1140391,Bioorg. Med. Chem. Lett.,2005.0,9.51
ZINC000045298884,Cn1ncc(Cl)c1-c1cc(NC(=O)Nc2cc(F)cc(F)c2)ccc1OCCN1CCOCC1,5HT2A_HUMAN,HTR2A,9.51,48876,,19665894.0,,CHEMBL1155963,Bioorg. Med. Chem. Lett.,2009.0,9.51
ZINC000001846593,O=C1NCN(c2ccccc2)C12CCN(CCCOc1ccc(F)cc1)CC2,5HT2A_HUMAN,HTR2A,9.5,3962,,11078195.0,,CHEMBL1132796,Bioorg. Med. Chem. Lett.,2000.0,9.5
ZINC000034481433,CC(C)Oc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1-c1c(Br)cnn1C,5HT2A_HUMAN,HTR2A,9.5,49664,,20143782.0,,CHEMBL1157565,J. Med. Chem.,2010.0,9.5
ZINC000034608430,COc1ccc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)cc1-c1c(Br)cnn1C,5HT2A_HUMAN,HTR2A,9.5,49664,,20143782.0,,CHEMBL1157565,J. Med. Chem.,2010.0,9.5
ZINC000035827140,COc1ccc(NC(=O)Nc2cccc(F)c2)cc1-c1c(Br)cnn1C,5HT2A_HUMAN,HTR2A,9.5,49664,,20143782.0,,CHEMBL1157565,J. Med. Chem.,2010.0,9.5
