Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,relation_clean,pKi_numeric
CHEMBL4212199,,,501.05,1.0,4.19,25,O=S(=O)(NC1CCN(CC(O)COc2ccccc2-c2ccccc2)CC1)c1cccc(Cl)c1,Ki,'=',2115.0,nM,5.67,,,UO_0000065,11.33,0.23,1.48,7.19,0,CHEMBL4178664,Displacement of [3H]-Ketanserin from human 5-HT2A receptor expressed in HEK293 or CHO-K1 cells after 1 hr by microbeta counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,,,,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4177556,1,Scientific Literature,Bioorg Med Chem,2017.0,,,=,5.67
CHEMBL206307,,,390.46,0.0,3.87,12e,N#Cc1ccccc1S(=O)(=O)N1CCC(CCc2ccc(F)cc2F)CC1,Ki,'=',8.1,nM,8.09,,,UO_0000065,20.72,0.41,4.22,13.23,0,CHEMBL861444,Binding affinity to human 5HT2A,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1148517,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,=,8.09
CHEMBL284092,GEPIRONE,2.0,359.47,0.0,1.55,98,CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1,Ki,'=',3630.0,nM,5.44,,,UO_0000065,15.13,0.29,3.89,7.81,0,CHEMBL4037103,Binding affinity to 5-HT2A (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4033775,1,Scientific Literature,J Med Chem,2018.0,,,=,5.44
CHEMBL174049,,,450.49,0.0,3.32,3i,O=S(=O)(c1ccc(-n2ccnn2)cc1)C1(F)CCN(CCc2ccc(F)cc2F)CC1,Ki,'=',0.66,nM,9.18,,,UO_0000065,20.38,0.4,5.86,13.48,0,CHEMBL828082,Binding affinity against human 5-hydroxytryptamine 2A receptor,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1142766,1,Scientific Literature,Bioorg Med Chem Lett,2005.0,,,=,9.18
CHEMBL85,RISPERIDONE,4.0,410.49,0.0,3.59,Risperidone,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,Ki,'=',0.81,nM,9.09,,,UO_0000065,22.15,0.41,5.5,14.17,0,CHEMBL829614,Inhibition of [125I]R91150 binding to human 5-hydroxytryptamine 2A receptor,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1142715,1,Scientific Literature,J Med Chem,2005.0,,,=,9.09
CHEMBL42948,,,376.5,0.0,4.02,2,N#Cc1cccc(NC(=O)NCCCN2CCC(Cc3ccccc3)CC2)c1,Ki,'=',770.0,nM,6.11,,,UO_0000065,16.24,0.3,2.09,8.97,0,CHEMBL617342,Inhibition of [125I]-eotaxin binding to serotonin 5-hydroxytryptamine 2A receptor,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1137845,1,Scientific Literature,Bioorg Med Chem Lett,2004.0,,,=,6.11
CHEMBL1946253,,,360.9,1.0,5.01,12,Fc1ccc(CCCCN2CCCN(c3ccc(Cl)cc3)CC2)cc1,Ki,'=',510.3,nM,6.29,,,UO_0000065,17.43,0.34,1.28,97.1,0,CHEMBL1949467,Binding affinity at 5-HT2A receptor by radioligand displacement assay,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1944557,1,Scientific Literature,Bioorg Med Chem,2012.0,,,=,6.29
CHEMBL61,PODOFILOX,4.0,414.41,0.0,2.41,PODOPHYLLOTOXIN,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,0,CHEMBL1909211,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT2A radioligand binding (ligand: [3H] Ketanserin),B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,
CHEMBL1200633,IVERMECTIN,4.0,1736.18,,,IVERMECTIN,CC[C@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2.CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(CC[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@]54O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,0,CHEMBL1909211,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT2A radioligand binding (ligand: [3H] Ketanserin),B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,
CHEMBL509,MECLOFENAMIC ACID,4.0,296.15,0.0,4.74,MECLOFENAMIC ACID,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,0,CHEMBL1909211,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT2A radioligand binding (ligand: [3H] Ketanserin),B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,
CHEMBL4248597,,,489.65,0.0,4.08,69,O=S(=O)(c1cccc2ncccc12)N1CCC[C@@H]1CCN1CCN(c2cccc3[nH]ccc23)CC1,Ki,'=',451.0,nM,6.35,,,UO_0000065,12.96,0.25,2.27,8.75,0,CHEMBL4229834,Displacement of [3H]-ketanserin from human 5-HT2AR expressed in CHO-K1 cell membranes after 1.5 hrs by microbeta counting method,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO-K1,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4229332,1,Scientific Literature,Eur J Med Chem,2018.0,,,=,6.35
CHEMBL4250244,,,521.09,2.0,5.7,46,O=S(=O)(c1cncc2ccccc12)N1CCC[C@H]1CCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1,Ki,'=',238.0,nM,6.62,,,UO_0000065,12.71,0.25,0.92,9.56,0,CHEMBL4229834,Displacement of [3H]-ketanserin from human 5-HT2AR expressed in CHO-K1 cell membranes after 1.5 hrs by microbeta counting method,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO-K1,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4229332,1,Scientific Literature,Eur J Med Chem,2018.0,,,=,6.62
CHEMBL4249426,,,521.09,2.0,5.7,45,O=S(=O)(c1cccc2ncccc12)N1CCC[C@H]1CCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1,Ki,'=',1400.0,nM,5.85,,,UO_0000065,11.23,0.22,0.15,8.45,0,CHEMBL4229834,Displacement of [3H]-ketanserin from human 5-HT2AR expressed in CHO-K1 cell membranes after 1.5 hrs by microbeta counting method,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO-K1,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4229332,1,Scientific Literature,Eur J Med Chem,2018.0,,,=,5.85
CHEMBL4242268,,,508.64,1.0,3.37,44,O=S(=O)(c1cncc2ccccc12)N1CCC[C@@H]1CCN1CCN(c2cccc3c2OCCO3)CC1,Ki,'=',390.0,nM,6.41,,,UO_0000065,12.6,0.24,3.04,8.52,0,CHEMBL4229834,Displacement of [3H]-ketanserin from human 5-HT2AR expressed in CHO-K1 cell membranes after 1.5 hrs by microbeta counting method,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO-K1,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4229332,1,Scientific Literature,Eur J Med Chem,2018.0,,,=,6.41
CHEMBL294490,,,406.27,0.0,4.11,34,COc1ccc2[nH]cc(CCNCc3ccc(I)cc3)c2c1,Ki,'=',400.0,nM,6.4,,,UO_0000065,15.75,0.4,2.29,17.27,0,CHEMBL617385,Affinity against 5-hydroxytryptamine 2A receptor (K) labeled with [3H]ketanserin.,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1127846,1,Scientific Literature,J Med Chem,1994.0,,,=,6.4
CHEMBL4442337,,,229.26,0.0,3.19,27,CCn1cncc1-c1c[nH]c2cccc(F)c12,Ki,'>',10000.0,nM,,,,UO_0000065,,,,,0,CHEMBL4394032,Displacement of [3H] ketanserin from human recombinant 5-HT2A receptor expressed in CHOK1 cells after 1 hr by microbeta scintillation counting method,B,BAO_0000219,cell-based format,Homo sapiens,,,,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4393658,1,Scientific Literature,Eur J Med Chem,2019.0,,,>,
CHEMBL3976282,,,454.67,0.0,4.86,9k,O=C(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1cccs1,Ki,'=',0.15,nM,9.82,,,UO_0000065,21.61,0.43,4.96,20.27,0,CHEMBL3872758,Displacement of [3H]ketanserin from recombinant human 5-HT2A receptor expressed in HEK293 cell membranes after 60 mins by scintillation counting method,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3872208,1,Scientific Literature,Eur J Med Chem,2016.0,CHEMBL3307715,,=,9.82
CHEMBL3938210,,,437.61,0.0,4.13,9l,O=C(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1ccc[nH]1,Ki,'=',0.29,nM,9.54,,,UO_0000065,21.79,0.42,5.41,14.84,0,CHEMBL3872758,Displacement of [3H]ketanserin from recombinant human 5-HT2A receptor expressed in HEK293 cell membranes after 60 mins by scintillation counting method,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3872208,1,Scientific Literature,Eur J Med Chem,2016.0,CHEMBL3307715,,=,9.54
CHEMBL3895540,,,504.75,1.0,4.75,12,CN([C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)S(=O)(=O)c1cccs1,Ki,'=',1.2,nM,8.92,,,UO_0000065,17.67,0.37,4.17,15.72,0,CHEMBL3872758,Displacement of [3H]ketanserin from recombinant human 5-HT2A receptor expressed in HEK293 cell membranes after 60 mins by scintillation counting method,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3872208,1,Scientific Literature,Eur J Med Chem,2016.0,CHEMBL3307715,,=,8.92
CHEMBL2037432,,,400.98,1.0,5.26,19,OC1(c2ccc(Cl)cc2)CCN(CCCCc2nc3ccccc3s2)CC1,Ki,'=',4265.8,nM,5.37,,,UO_0000065,13.39,0.27,0.11,14.77,0,CHEMBL3820054,Displacement of [3H]Ketanserin from human recombinant 5HT2A receptor incubated for 1.5 hrs by microbeta scintillation counting method,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3817845,1,Scientific Literature,Bioorg Med Chem,2016.0,,,=,5.37
CHEMBL2028019,CARIPRAZINE,4.0,427.42,0.0,4.34,Cariprazine,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,Ki,'=',23.0,nM,7.64,,,UO_0000065,17.87,0.37,3.3,19.68,0,CHEMBL3872758,Displacement of [3H]ketanserin from recombinant human 5-HT2A receptor expressed in HEK293 cell membranes after 60 mins by scintillation counting method,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3872208,1,Scientific Literature,Eur J Med Chem,2016.0,CHEMBL3307715,,=,7.64
CHEMBL1774385,,,425.5,0.0,3.72,8c,COc1ccccc1N1CCN(CC(F)CCNC(=O)c2cc3ccccc3o2)CC1,Ki,'=',4800.0,nM,5.32,,,UO_0000065,12.5,0.23,1.6,9.18,0,CHEMBL1777190,Displacement of [125I]DOI from 5HT2A receptor,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1772985,1,Scientific Literature,J Med Chem,2011.0,,,=,5.32
CHEMBL4469147,,,394.46,0.0,3.54,10y,CC(=O)Nc1nc(C)c(-c2ccc3ccn(S(=O)(=O)c4ccccc4)c3c2)[nH]1,Ki,'>',10000.0,nM,,,,UO_0000065,,,,,0,CHEMBL4354012,Displacement of [3H]ketanserin from human 5HT2A receptor expressed in CHOK1 cells incubated for 1 hr by liquid scintillation counter method,B,BAO_0000219,cell-based format,Homo sapiens,,,,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4351001,1,Scientific Literature,Eur J Med Chem,2019.0,,,>,
CHEMBL3956720,,,412.6,0.0,3.89,9g,O=C(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)C1CC1,Ki,'=',0.35,nM,9.46,,,UO_0000065,22.92,0.45,5.57,19.51,0,CHEMBL3872758,Displacement of [3H]ketanserin from recombinant human 5-HT2A receptor expressed in HEK293 cell membranes after 60 mins by scintillation counting method,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3872208,1,Scientific Literature,Eur J Med Chem,2016.0,CHEMBL3307715,,=,9.46
CHEMBL4587772,,,457.62,1.0,5.58,5.1c,CCOc1ccccc1N1CCN(CCCCCCN2C(=O)c3cccc4cccc2c34)CC1,Ki,'=',717.0,nM,6.14,,,UO_0000065,13.43,0.25,0.56,17.06,0,CHEMBL4390411,Displacement of [3H]-ketanserin from recombinant human 5HT2A receptor expressed in CHOK1 cells measured after 1 hr by microbeta counting method,B,BAO_0000219,cell-based format,Homo sapiens,,,,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4387768,1,Scientific Literature,Bioorg Med Chem Lett,2019.0,,,=,6.14
CHEMBL4458938,,,464.61,1.0,5.73,5.1g,O=C1c2cccc3cccc(c23)N1CCCCCCN1CCN(c2cccc3cccnc23)CC1,Ki,'=',222.0,nM,6.65,,,UO_0000065,14.32,0.26,0.92,16.77,0,CHEMBL4390411,Displacement of [3H]-ketanserin from recombinant human 5HT2A receptor expressed in CHOK1 cells measured after 1 hr by microbeta counting method,B,BAO_0000219,cell-based format,Homo sapiens,,,,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4387768,1,Scientific Literature,Bioorg Med Chem Lett,2019.0,,,=,6.65
CHEMBL1909049,,,309.41,0.0,3.79,1-(2-METHOXYBENZOYL)-4-(PHENYLMETHYL)-PIPERIDINE,COc1ccccc1C(=O)N1CCC(Cc2ccccc2)CC1,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,0,CHEMBL1909211,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT2A radioligand binding (ligand: [3H] Ketanserin),B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,
CHEMBL3976579,,,393.88,0.0,1.36,17,CC[C@H](Nc1nc(Cl)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(CO)C[C@H]12)C1CC1,Ki,'>',10000.0,nM,,,,UO_0000065,,,,,0,CHEMBL3863912,Displacement of [3H]ketanserin from human 5-HT2A receptor expressed in HEK-T cell membranes incubated for 90 mins under dark condition by microbeta scintillation counting method,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK-T,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3862033,1,Scientific Literature,J Med Chem,2016.0,,,>,
CHEMBL519809,,,294.27,0.0,-2.23,7,CNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,Ki,'>',10000.0,nM,,,,UO_0000065,,,,,0,CHEMBL3863912,Displacement of [3H]ketanserin from human 5-HT2A receptor expressed in HEK-T cell membranes incubated for 90 mins under dark condition by microbeta scintillation counting method,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK-T,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3862033,1,Scientific Literature,J Med Chem,2016.0,,,>,
CHEMBL221843,,,462.6,0.0,2.98,8,COc1ccccc1N1CCN(CCCCNC(=O)c2nnn(Cc3ccccc3)c2C)CC1,Ki,'=',620.0,nM,6.21,,,UO_0000065,13.42,0.25,3.23,8.22,0,CHEMBL3614295,Displacement of [3H]ketanserin from human 5-HT2A receptor expressed in HEK293 cell membranes by radioligand competition binding assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3612016,1,Scientific Literature,Bioorg Med Chem,2015.0,CHEMBL3307715,,=,6.21
CHEMBL373873,,,501.46,1.0,4.27,7,Cc1c(C(=O)NCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)nnn1Cc1ccccc1,Ki,'=',7.4,nM,8.13,,,UO_0000065,16.21,0.33,3.86,12.27,0,CHEMBL3614295,Displacement of [3H]ketanserin from human 5-HT2A receptor expressed in HEK293 cell membranes by radioligand competition binding assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3612016,1,Scientific Literature,Bioorg Med Chem,2015.0,CHEMBL3307715,,=,8.13
CHEMBL2079587,STANOZOLOL,4.0,328.5,0.0,4.12,STANOZOLOL,C[C@]12Cc3c[nH]nc3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,0,CHEMBL1909211,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT2A radioligand binding (ligand: [3H] Ketanserin),B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,
